,time [ns],amplitude [MHZ]
0,0.0,0.0
1,1.0,0.55925475551929
2,2.0,1.0437885972310532
3,3.0,0.9232437371616861
4,4.0,0.84779505682096
5,5.0,0.767450165237204
6,6.0,0.6404542435046298
7,7.0,0.49732263618903605
8,8.0,0.39294929178640187
9,9.0,0.321635485067318
10,10.0,0.22694702695248192
11,11.0,0.08922602600160442
12,12.0,-0.04481957465859875
13,13.0,-0.1348394480582253
14,14.0,-0.20869690650272157
15,15.0,-0.318578002722298
16,16.0,-0.4606118598282242
17,17.0,-0.5815650294034588
18,18.0,-0.661352809448625
19,19.0,-0.7431823769359739
20,20.0,-0.8663564582728054
21,21.0,-1.0062544171849146
22,22.0,-1.1128449886753584
23,23.0,-1.1877804829972636
24,24.0,-1.2809815271846205
25,25.0,-1.4135589420491779
26,26.0,-1.5460218475599958
27,27.0,-1.6395246431318211
28,28.0,-1.7151906592293762
29,29.0,-1.8209445303068104
30,30.0,-1.9580408995393213
31,31.0,-2.079738412587199
32,32.0,-2.1634610544926973
33,33.0,-2.244775286290161
34,34.0,-2.3623468708136772
35,35.0,-2.4991560905042887
36,36.0,-2.6090907489980255
37,37.0,-2.687717780455818
38,38.0,-2.7784176535169185
39,39.0,-2.9057580914482095
40,40.0,-3.038534006643439
41,41.0,-3.138021188098129
42,42.0,-3.2169190917499972
43,43.0,-3.3194448155274716
44,44.0,-3.453941007178014
45,45.0,-3.580705797910009
46,46.0,-3.6730955976715127
47,47.0,-3.757666407344114
48,48.0,-3.873333618047978
49,49.0,-4.012587666435867
50,50.0,-4.133447290308874
51,51.0,-4.223644102803571
52,52.0,-4.318802003458864
53,53.0,-4.448082289897875
54,54.0,-4.590560340441295
55,55.0,-4.707599535359744
56,56.0,-4.801347543888133
57,57.0,-4.911101890064961
58,58.0,-5.053845929148667
59,59.0,-5.199160843448387
60,60.0,-5.31589774717989
61,61.0,-5.418772113992231
62,62.0,-5.545755323709096
63,63.0,-5.701189908701408
64,64.0,-5.849754842322718
65,65.0,-5.970030346750121
66,66.0,-6.086060086456774
67,67.0,-6.230727642169641
68,68.0,-6.396949567542751
69,69.0,-6.54874909928251
70,70.0,-6.674802009909311
71,71.0,-6.804567729889411
72,72.0,-6.963750966911072
73,73.0,-7.136281452569945
74,74.0,-7.288489813758822
75,75.0,-7.417941035848146
76,76.0,-7.5558695401613685
77,77.0,-7.720354865705966
78,78.0,-7.889279325358872
79,79.0,-8.032470388062151
80,80.0,-8.154108452766662
81,81.0,-8.28474557939043
82,82.0,-8.435692087581486
83,83.0,-8.581273982638116
84,84.0,-8.694378996819337
85,85.0,-8.78325605337716
86,86.0,-8.877014060678581
87,87.0,-8.981857077922507
88,88.0,-9.069852276336595
89,89.0,-9.115635289385558
90,90.0,-9.12980690487426
91,91.0,-9.140964645137041
92,92.0,-9.152192183308646
93,93.0,-9.133498804809186
94,94.0,-9.060322064589764
95,95.0,-8.945864927699175
96,96.0,-8.820570583172417
97,97.0,-8.68651691072064
98,98.0,-8.511932472443307
99,99.0,-8.273911285891918
100,100.0,-7.9910447210955695
101,101.0,-7.699010365438191
102,102.0,-7.401192911298092
103,103.0,-7.065616132456841
104,104.0,-6.674121389305487
105,105.0,-6.254893023672465
106,106.0,-5.851734698981822
107,107.0,-5.470698640222203
108,108.0,-5.081168518757213
