,time [ns],amplitude [MHZ]
0,0.0,0j
1,0.5,(1.5992239222605353+0.5351355903812862j)
2,1.0,(3.1897334140010574+1.0308132777511603j)
3,1.5,(3.1818724301889905+0.9499788374601698j)
4,2.0,(3.192190280865281+0.871642648233179j)
5,2.5,(3.2151127990105954+0.8064825429173798j)
6,3.0,(3.239706915740129+0.7594173124691465j)
7,3.5,(3.2543304725620734+0.7275038399585929j)
8,4.0,(3.251760428848988+0.7011422013139431j)
9,4.5,(3.23241290040179+0.6684122948134915j)
10,5.0,(3.2039640534259837+0.62036140477589j)
11,5.5,(3.1779004928732086+0.554742471096876j)
12,6.0,(3.1645823285963597+0.47691909380940734j)
13,6.5,(3.168726990010111+0.3974923873924648j)
14,7.0,(3.1874549245873065+0.32759151244496804j)
15,7.5,(3.211682913501769+0.2741351017484607j)
16,8.0,(3.229992240030786+0.236928920334212j)
17,8.5,(3.2335808657683267+0.2086697788121216j)
18,9.0,(3.22020361851935+0.17820359392507082j)
19,9.5,(3.1950206736585764+0.13552959710728824j)
20,10.0,(3.1681910183780335+0.07604240038465636j)
21,10.5,(3.150496579369072+0.0024228901229110824j)
22,11.0,(3.1486622186998456-0.07655101753621621j)
23,11.5,(3.1624839305045698-0.14992566955071487j)
24,12.0,(3.185086990283693-0.20929238268532607j)
25,12.5,(3.2058883386974646-0.2522891485071554j)
26,13.0,(3.2151199010143174-0.2836732765416954j)
27,13.5,(3.20817974912765-0.313247790231985j)
28,14.0,(3.1875842874479927-0.35143188965329203j)
29,14.5,(3.1616854853359486-0.4047719994160318j)
30,15.0,(3.141044401795034-0.4732365667407745j)
31,15.5,(3.133872687993445-0.550252824737609j)
32,16.0,(3.142477270758092-0.6256543211441096j)
33,16.5,(3.162426059966044-0.6901232855161017j)
34,17.0,(3.1845217968540114-0.7390712806319708j)
35,17.5,(3.1986861189299782-0.7746150321627528j)
36,18.0,(3.198400696045122-0.8047088740276704j)
37,18.5,(3.183564690485739-0.8395417485930229j)
38,19.0,(3.1603530270229063-0.8870775429203456j)
39,19.5,(3.1384846594614757-0.9497463257583875j)
40,20.0,(3.127054061650368-1.023429570123341j)
41,20.5,(3.1305714266714975-1.0993108226181045j)
42,21.0,(3.147140254128158-1.1677868332134576j)
43,21.5,(3.169405108659325-1.2224949273596075j)
44,22.0,(3.1876388061968073-1.2629810110853954j)
45,22.5,(3.1939616194466716-1.29497347586043j)
46,23.0,(3.185841085373924-1.3278011218277552j)
47,23.5,(3.167041438083363-1.3702425656052555j)
48,24.0,(3.1458790711139293-1.4268511032999973j)
49,24.5,(3.1316750230445463-1.496055560384488j)
50,25.0,(3.1307009602750546-1.570869247573784j)
51,25.5,(3.143537685634849-1.6420373514881552j)
52,26.0,(3.1650042578618027-1.701973941688273j)
53,26.5,(3.1863502757009403-1.747890280773396j)
