,qubit_num,qubit_freq,rabi_freq,anharmonicity,N_levles,p_drag,ramp_length_ns,sample_rate,detuning_scan,max_pop_up,max_pop_down
0,4,4430.455,70.0,208.39,10,-16,200,2000,1.0,1.8056664812343794e-08,6.187276246541232e-09
1,4,4430.455,70.0,208.39,10,-16,200,2000,1.5,1.84091221745229e-08,7.27599691019943e-09
2,4,4430.455,70.0,208.39,10,-16,200,2000,2.0,1.8664997670115288e-08,6.7043599990817276e-09
3,4,4430.455,70.0,208.39,10,-16,200,2000,2.5,1.9041582997027482e-08,5.6959602830906845e-09
4,4,4430.455,70.0,208.39,10,-16,200,2000,3.0,1.890461096858191e-08,1.1711050557056618e-08
5,4,4430.455,70.0,208.39,10,-16,200,2000,3.5,2.1200019864967904e-08,1.1413808420070186e-09
6,4,4430.455,70.0,208.39,10,-16,200,2000,4.0,1.862941595027898e-08,7.085724642471658e-11
7,4,4430.455,70.0,208.39,10,-16,200,2000,4.5,1.9081604891857856e-08,3.434912536538277e-09
8,4,4430.455,70.0,208.39,10,-16,200,2000,5.0,1.999412121867065e-08,2.9022611907074038e-11
9,4,4430.455,70.0,208.39,10,-16,200,2000,5.499999999999999,2.0101005095371917e-08,1.4341715895495797e-11
10,4,4430.455,70.0,208.39,10,-16,200,2000,6.0,6.574833227168452e-14,1.578661503672047e-13
11,4,4430.455,70.0,208.39,10,-16,200,2000,6.500000000000001,5.0249359432817506e-14,4.8197007828741416e-14
12,4,4430.455,70.0,208.39,10,-16,200,2000,7.0,1.4597221705332647e-14,3.6979652237731814e-14
13,4,4430.455,70.0,208.39,10,-16,200,2000,7.499999999999999,1.2203640694010148e-14,5.85089901018447e-14
14,4,4430.455,70.0,208.39,10,-16,200,2000,8.0,3.597003445976366e-14,1.745708555842599e-14
15,4,4430.455,70.0,208.39,10,-16,200,2000,8.5,1.5393340136384883e-14,4.564683940532054e-14
16,4,4430.455,70.0,208.39,10,-16,200,2000,9.0,1.3957903103914156e-14,2.287523358975443e-14
17,4,4430.455,70.0,208.39,10,-16,200,2000,9.5,2.7985814969877812e-14,2.138917113218093e-14
18,4,4430.455,70.0,208.39,10,-16,200,2000,10.0,1.0218552739308685e-14,2.7558448885818224e-14
19,4,4430.455,70.0,208.39,10,-16,200,2000,10.5,1.5619735943063968e-14,1.4790473881478653e-14
20,4,4430.455,70.0,208.39,10,-16,200,2000,10.999999999999998,2.2285305066292622e-14,1.5167872385421217e-14
21,4,4430.455,70.0,208.39,10,-16,200,2000,11.5,1.642187731585558e-14,1.3513644096157284e-14
22,4,4430.455,70.0,208.39,10,-16,200,2000,12.0,1.0563190790046492e-14,1.1119847304122333e-14
23,4,4430.455,70.0,208.39,10,-16,200,2000,12.5,1.3235015850255274e-14,2.4905204081386032e-14
24,4,4430.455,70.0,208.39,10,-16,200,2000,13.000000000000002,1.8918401891331258e-14,1.2880129317033266e-14
25,4,4430.455,70.0,208.39,10,-16,200,2000,13.5,1.5608124911583715e-14,1.4621810563570253e-14
26,4,4430.455,70.0,208.39,10,-16,200,2000,14.0,9.74956570432806e-15,1.2484110484789557e-14
27,4,4430.455,70.0,208.39,10,-16,200,2000,14.5,1.7995432778305345e-14,1.5180426026983414e-14
28,4,4430.455,70.0,208.39,10,-16,200,2000,14.999999999999998,9.395451041473237e-15,4.556544296578804e-14
29,4,4430.455,70.0,208.39,10,-16,200,2000,15.5,1.3549758121161275e-14,1.4467938290688604e-14
30,4,4430.455,70.0,208.39,10,-16,200,2000,16.0,2.4524960017019765e-14,2.0400492367303574e-14
31,4,4430.455,70.0,208.39,10,-16,200,2000,16.5,1.0713122431658658e-14,1.901279638456963e-14
32,4,4430.455,70.0,208.39,10,-16,200,2000,17.0,8.651579663777012e-15,9.204243052380772e-15
33,4,4430.455,70.0,208.39,10,-16,200,2000,17.5,1.1040066878028307e-14,4.9206243975672565e-14
34,4,4430.455,70.0,208.39,10,-16,200,2000,18.0,1.4492488146870117e-14,1.602442289569629e-14
35,4,4430.455,70.0,208.39,10,-16,200,2000,18.5,1.93883542839214e-14,2.84540690456726e-14
36,4,4430.455,70.0,208.39,10,-16,200,2000,19.0,2.292156949441651e-14,4.5614784365978857e-14
37,4,4430.455,70.0,208.39,10,-16,200,2000,19.5,1.7168525158434444e-14,1.4529140375837098e-14
38,4,4430.455,70.0,208.39,10,-16,200,2000,20.0,1.2772720686851861e-14,4.157482011880288e-14
39,4,4430.455,70.0,208.39,10,-16,200,2000,20.5,1.7965386216785766e-14,2.4786690769893635e-14
