,time [ns],amplitude [MHZ],amplitude_x [MHZ],amplitude_y [MHZ]
0,0.0,,0.0,0.0
1,0.5,,0.0009206445423005151,-0.053348015453805644
2,1.0,,0.002234956724101886,-0.14011494975740146
3,1.5,,0.0029849808115719003,-0.20686603150554284
4,2.0,,0.0036314367675191186,-0.2734711795992364
5,2.5,,0.004143514205416789,-0.33999610690914456
6,3.0,,0.004544070131404015,-0.40650612716180246
7,3.5,,0.004893747546506383,-0.47302965867795027
8,4.0,,0.005254157638861103,-0.5395433815089936
9,4.5,,0.005651364060680959,-0.6059874866753742
10,5.0,,0.006060632063252693,-0.6723020673836854
11,5.5,,0.006421060518155956,-0.7384637398508728
12,6.0,,0.0066717581742916495,-0.80450152840656
13,6.5,,0.006788821921937884,-0.8704827967938513
14,7.0,,0.006801873167034492,-0.9364773550289375
15,7.5,,0.006780862922770688,-1.002520281925054
16,8.0,,0.006800673890652229,-1.0685945428156485
17,8.5,,0.006903726042978184,-1.1346434079436711
18,9.0,,0.007082158862430397,-1.2006054346826054
19,9.5,,0.0072896132992448445,-1.2664517555586217
20,10.0,,0.007475770363178259,-1.33220445236241
21,10.5,,0.007623991053686025,-1.3979253514253303
22,11.0,,0.0077702385625953736,-1.463681528783541
23,11.5,,0.007992434814840115,-1.5295074900826218
24,12.0,,0.008376459382596504,-1.5953854894877375
25,12.5,,0.00897797041580481,-1.6612552359606818
26,13.0,,0.009802050310012014,-1.7270476360969693
27,13.5,,0.010812413218182217,-1.7927229121679464
28,14.0,,0.011964531708953622,-1.858291261737204
29,14.5,,0.013243819351414096,-1.9238043711878676
30,15.0,,0.014686850904409429,-1.9893223482213425
31,15.5,,0.016373082659321126,-2.0548753069125705
32,16.0,,0.018392112092532043,-2.1204418250905
33,16.5,,0.020805138107838114,-2.1859563517859484
34,17.0,,0.023622545070196118,-2.251341632642839
35,17.5,,0.02681083452941429,-2.3165474782963837
36,18.0,,0.03032456762222626,-2.381573282636138
37,18.5,,0.03414473887572704,-2.4464618007693493
38,19.0,,0.038301812546609124,-2.5112677245237527
39,19.5,,0.042869795710797735,-2.5760190705660517
40,20.0,,0.04793489277356323,-2.640694129410008
41,20.5,,0.05355718002572225,-2.7052269213805955
42,21.0,,0.05974689667906756,-2.769537894804175
43,21.5,,0.06646913630523657,-2.833572593479525
44,22.0,,0.07367431796041701,-2.8973256533567766
45,22.5,,0.0813363099164868,-2.9608365830437338
46,23.0,,0.08947666887353879,-3.0241603271110704
47,23.5,,0.09816125460082858,-3.0873292053738774
48,24.0,,0.10747093179524057,-3.1503284408024115
49,24.5,,0.11746387920715326,-3.2130994449820567
50,25.0,,0.12815103915427825,-3.275568267858231
51,25.5,,0.13949832590514138,-3.3376832342006324
52,26.0,,0.1514547545004181,-3.3994402547826112
53,26.5,,0.16398995282471765,-3.4608809976391446
54,27.0,,0.17711944627782994,-3.5220657659056296
55,27.5,,0.19090404635190225,-3.5830365666793624
56,28.0,,0.20542344514521949,-3.6437911182845917
57,28.5,,0.22073931117965614,-3.7042831415433732
58,29.0,,0.23686952931580188,-3.7644481649261565
59,29.5,,0.2537875586749876,-3.8242397962917973
60,30.0,,0.27144739902201376,-3.8836564090200767
61,30.5,,0.28982027443103703,-3.942742542607629
62,31.0,,0.3089215042362511,-4.001564356152093
63,31.5,,0.3288128574301508,-4.060173678465017
64,32.0,,0.3495793431400439,-4.118580343042157
65,32.5,,0.3712930365384059,-4.176748733493446
66,33.0,,0.3939851885564113,-4.2346207709603405
67,33.5,,0.41764237942744564,-4.292151428076193
68,34.0,,0.44222833037486964,-4.349337057748133
69,34.5,,0.46771976975433566,-4.406220507660896
70,35.0,,0.4941356068942216,-4.462869294389046
71,35.5,,0.5215424066009451,-4.5193398700971175
72,36.0,,0.5500337696174036,-4.575648101190158
73,36.5,,0.5796946446169903,-4.631762192285519
74,37.0,,0.6105707676000354,-4.687622997734369
75,37.5,,0.6426614596985203,-4.743179743221801
76,38.0,,0.6759391746745639,-4.798420372649302
77,38.5,,0.7103848896105813,-4.853379916049947
78,39.0,,0.7460196438020779,-4.908121211216232
79,39.5,,0.7829130977092275,-4.962698803765019
80,40.0,,0.8211644941407369,-5.01712744299766
81,40.5,,0.8608670691234839,-5.071372441960997
82,41.0,,0.9020753513953204,-5.125367863690439
83,41.5,,0.9447949617083261,-5.179052769618576
84,42.0,,0.9890008614424861,-5.232403696991444
85,42.5,,1.0346727702765335,-5.28544515943664
86,43.0,,1.081828215315258,-5.338232301394892
87,43.5,,1.130533653454918,-5.390814725593832
88,44.0,,1.1808865380113553,-5.443203274117879
89,44.5,,1.2329796243625697,-5.495358993147832
90,45.0,,1.2868674513124545,-5.547209955551919
91,45.5,,1.342554134750366,-5.598687279551419
92,46.0,,1.4000104789227852,-5.649759097619539
93,46.5,,1.4592094936332969,-5.700442298583489
94,47.0,,1.5201597696179645,-5.750786418301266
95,47.5,,1.582918161758337,-5.800838440317134
96,48.0,,1.6475734478917154,-5.850608824505972
97,48.5,,1.714211042816073,-5.900059461994232
98,49.0,,1.7828798062644389,-5.949119455264922
99,49.5,,1.8535789859380523,-5.997719622896891
100,50.0,,1.9262734547867704,-6.045826540098316
101,50.5,,2.0009284044215354,-6.093455448579085
102,51.0,,2.077542337491721,-6.140655397891542
103,51.5,,2.1561604789181343,-6.1874760421944535
104,52.0,,2.2368609996411273,-6.233934270809691
105,52.5,,2.319721526657606,-6.280000667829292
106,53.0,,2.404786580000603,-6.325613470615673
107,53.5,,2.4920539997060973,-6.3707106378197125
108,54.0,,2.5814873408692645,-6.4152625964956425
109,54.5,,2.673048054459569,-6.45928683641014
110,55.0,,2.766728057616332,-6.502835494202552
111,55.5,,2.86256411643128,-6.5459645998876095
112,56.0,,2.960627333677008,-6.588702060375486
113,56.5,,3.0609929600913306,-6.631031928422592
114,57.0,,3.163708136098709,-6.672904836359593
115,57.5,,3.2687767057039916,-6.714267372923659
116,58.0,,3.37616814967411,-6.755093428117369
117,58.5,,3.4858460099187827,-6.795401014033258
118,59.0,,3.5978002581441415,-6.835244012280305
119,59.5,,3.7120641037426676,-6.874683928709941
120,60.0,,3.8287069988373332,-6.913758547093732
121,60.5,,3.9478081063397763,-6.9524636018429
122,61.0,,4.069423958748821,-6.990758323368381
123,61.5,,4.193569802791541,-7.028592205652947
124,62.0,,4.320224761974305,-7.065936416812631
125,62.5,,4.449356888980454,-7.102803283651338
126,63.0,,4.580955582468275,-7.139242979519845
127,63.5,,4.715052342909374,-7.175317786180974
128,64.0,,4.85171744660831,-7.2110697140909785
129,64.5,,4.991035779795629,-7.246499298391371
130,65.0,,5.1330740341655945,-7.28156654980252
131,65.5,,5.277857613283589,-7.3162153697684795
132,66.0,,5.42537188140071,-7.350406868636397
133,66.5,,5.575585678922611,-7.384142032776584
134,67.0,,5.728484345376643,-7.417462316934903
135,67.5,,5.884094522079116,-7.4504261102361085
136,68.0,,6.042484510335808,-7.483074144184658
137,68.5,,6.2037405700037045,-7.515405087870145
138,69.0,,6.3679330110188515,-7.547373809478264
139,69.5,,6.535089655231446,-7.578914210594145
140,70.0,,6.705193616450651,-7.60997492085521
141,70.5,,6.878206972151193,-7.6405454054368285
142,71.0,,7.054105269201186,-7.670658361059325
143,71.5,,7.23290472954934,-7.700367334419702
144,72.0,,7.4146654978568876,-7.729710488985839
145,72.5,,7.599467601098415,-7.758683242483618
146,73.0,,7.787375409933863,-7.7872358213399755
147,73.5,,7.9784099696981565,-7.8152958054232755
148,74.0,,8.172544869759903,-7.84280470294981
149,74.5,,8.36973011221729,-7.86974651494802
150,75.0,,8.569928281922898,-7.896150476393146
151,75.5,,8.773141990986748,-7.922068541476762
152,76.0,,8.979418183888399,-7.947539503469355
153,76.5,,9.188824769648997,-7.972560346132816
154,77.0,,9.401414248886137,-7.997083598045076
155,77.5,,9.617196811602783,-8.021040219338033
156,78.0,,9.83613632336243,-8.044374699305424
157,78.5,,10.058172774659026,-8.067073524089286
158,79.0,,10.283258316525242,-8.089168435918078
159,79.5,,10.511383754009689,-8.110713945956624
160,80.0,,10.742582361799512,-8.131753776533532
161,80.5,,10.976909141979244,-8.152293578950264
162,81.0,,11.214406362386727,-8.172297012959234
